City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
490,tughyl,47.7252,84.2063,58.01,69,24,1.52,KZ,2023-10-04 10:39:42
491,ponta delgada,37.7333,-25.6667,75.18,88,40,11.5,PT,2023-10-04 10:39:42
492,santa terezinha,-29.9002,-50.0904,63.21,98,100,6.31,BR,2023-10-04 10:39:42
493,pemangkat,1.1667,108.9667,82.33,76,5,6.73,ID,2023-10-04 10:39:43
494,berbera,10.4396,45.0143,89.17,54,6,11.63,SO,2023-10-04 10:39:43
495,al kharj,24.155,47.3346,106.38,8,0,9.06,SA,2023-10-04 10:39:43
496,bridlington,54.0831,-0.1919,57.88,87,100,8.99,GB,2023-10-04 10:39:44
497,kochenevo,55.0218,82.202,60.19,47,63,6.02,RU,2023-10-04 10:39:44
498,asau,46.4333,26.4,74.28,39,47,9.06,RO,2023-10-04 10:39:44
499,minas de marcona,-15.2119,-75.1103,54.97,93,90,11.48,PE,2023-10-04 10:39:44
500,rongelap,11.1635,166.8941,83.7,78,100,16.49,MH,2023-10-04 10:39:44
501,stornoway,58.2093,-6.3865,55.36,85,40,14.97,GB,2023-10-04 10:39:45
502,port hedland,-20.3167,118.5667,82.45,44,7,6.91,AU,2023-10-04 10:39:45
503,quellon,-43.1167,-73.6167,43.66,93,95,2.82,CL,2023-10-04 10:39:45
504,san ignacio de velasco,-16.3667,-60.95,81.28,41,23,7.43,BO,2023-10-04 10:39:45
505,zouerate,22.7187,-12.4521,96.75,12,58,17.69,MR,2023-10-04 10:39:46
506,tshabong,-26.05,22.45,94.84,12,62,12.3,BW,2023-10-04 10:39:46
507,carinhanha,-14.3047,-43.765,86.63,47,97,3.51,BR,2023-10-04 10:39:46
508,coro,11.4045,-69.6734,81.23,79,83,4.9,VE,2023-10-04 10:39:46
509,gadzhiyevo,69.2551,33.3362,42.53,78,97,11.32,RU,2023-10-04 10:39:46
510,jayapura,-2.5333,140.7,79.99,89,100,3.38,ID,2023-10-04 10:39:47
511,mazagao,-0.115,-51.2894,80.65,86,66,5.73,BR,2023-10-04 10:39:47
